Date,MU
2008-02-01,7.616992473602295
2008-02-04,7.616992473602295
2008-02-05,7.6462507247924805
2008-02-06,6.817255973815918
2008-02-07,6.9440436363220215
2008-02-08,6.524672031402588
2008-02-11,6.661211013793945
2008-02-12,6.846515655517578
2008-02-13,7.207373142242432
2008-02-14,6.992809295654297
2008-02-15,6.953796863555908
2008-02-19,7.3341593742370605
2008-02-20,7.616992473602295
2008-02-21,7.197620391845703
2008-02-22,7.353664875030518
2008-02-25,7.577980995178223
2008-02-26,7.529216766357422
2008-02-27,7.6657562255859375
2008-02-28,7.382923603057861
2008-02-29,7.3341593742370605
2008-03-03,6.992809295654297
2008-03-04,6.807504177093506
2008-03-05,6.856268405914307
2008-03-06,6.573435306549072
2008-03-07,6.709975719451904
2008-03-10,6.251591682434082
2008-03-11,6.690470218658447
2008-03-12,6.339366436004639
2008-03-13,6.329614162445068
2008-03-14,5.988262176513672
2008-03-17,5.87122917175293
2008-03-18,5.841969966888428
2008-03-19,5.6566667556762695
2008-03-20,5.832217216491699
2008-03-24,5.695678234100342
2008-03-25,5.646913051605225
2008-03-26,5.36407995223999
2008-03-27,5.3835859298706055
2008-03-28,5.32506799697876
2008-03-31,5.822464466094971
2008-04-01,5.851723670959473
2008-04-02,6.23208475112915
2008-04-03,6.6222004890441895
2008-04-04,6.5929412841796875
2008-04-07,6.524672031402588
2008-04-08,6.378377437591553
2008-04-09,6.602694511413574
2008-04-10,6.817255973815918
2008-04-11,6.729481220245361
2008-04-14,6.563682556152344
2008-04-15,6.5929412841796875
2008-04-16,7.012314319610596
2008-04-17,7.031820774078369
2008-04-18,7.217125415802002
2008-04-21,7.217125415802002
2008-04-22,7.246382236480713
2008-04-23,7.402429580688477
2008-04-24,7.519464015960693
2008-04-25,7.490203857421875
2008-04-28,7.675509452819824
2008-04-29,7.6657562255859375
2008-04-30,7.529216766357422
2008-05-01,7.899825096130371
2008-05-02,8.03636646270752
2008-05-05,8.065625190734863
2008-05-06,8.08513069152832
2008-05-07,7.9875993728637695
2008-05-08,8.016860961914062
2008-05-09,8.163155555725098
2008-05-12,8.114388465881348
2008-05-13,8.124141693115234
2008-05-14,8.328950881958008
2008-05-15,8.621537208557129
2008-05-16,8.621537208557129
2008-05-19,8.5435152053833
2008-05-20,8.007104873657227
2008-05-21,8.153400421142578
2008-05-22,7.958344459533691
2008-05-23,8.007104873657227
2008-05-27,7.938838958740234
2008-05-28,8.065625190734863
2008-05-29,7.890074729919434
2008-05-30,7.870567321777344
2008-06-02,7.997354984283447
2008-06-03,7.958344459533691
2008-06-04,8.202163696289062
2008-06-05,8.319199562072754
2008-06-06,8.08513069152832
2008-06-09,7.821803092956543
2008-06-10,7.607239723205566
2008-06-11,7.1586079597473145
2008-06-12,7.1586079597473145
2008-06-13,7.470699310302734
2008-06-16,7.538967609405518
2008-06-17,7.246382236480713
2008-06-18,6.973302841186523
2008-06-19,7.256136894226074
2008-06-20,7.051326751708984
2008-06-23,6.83676290512085
2008-06-24,7.217125415802002
2008-06-25,7.343913555145264
2008-06-26,6.817255973815918
2008-06-27,5.9492506980896
2008-06-30,5.851723670959473
2008-07-01,5.646913051605225
2008-07-02,5.763947486877441
2008-07-03,5.627406597137451
2008-07-07,5.344573974609375
2008-07-08,5.3835859298706055
2008-07-09,5.32506799697876
2008-07-10,5.32506799697876
2008-07-11,5.305561542510986
2008-07-14,5.1495161056518555
2008-07-15,5.1495161056518555
2008-07-16,5.373833179473877
2008-07-17,5.315314292907715
2008-07-18,5.559135913848877
2008-07-21,5.5201263427734375
2008-07-22,5.003223419189453
2008-07-23,5.003223419189453
2008-07-24,4.788660526275635
2008-07-25,4.847176551818848
2008-07-28,4.4668145179748535
2008-07-29,4.5643439292907715
2008-07-30,4.6326141357421875
2008-07-31,4.710636138916016
2008-08-01,4.554591178894043
2008-08-04,4.6326141357421875
2008-08-05,4.613108158111572
2008-08-06,4.856929779052734
2008-08-07,4.973964691162109
2008-08-08,5.139762878417969
2008-08-11,5.2567973136901855
2008-08-12,5.139762878417969
2008-08-13,4.973964691162109
2008-08-14,5.2372918128967285
2008-08-15,5.2567973136901855
2008-08-18,4.964211940765381
2008-08-19,4.778907299041748
2008-08-20,4.58384895324707
2008-08-21,4.5643439292907715
2008-08-22,4.574096202850342
2008-08-25,4.379039764404297
2008-08-26,4.135217189788818
2008-08-27,4.15472412109375
2008-08-28,4.183981895446777
2008-08-29,4.135217189788818
2008-09-02,4.115711688995361
2008-09-03,4.213240623474121
2008-09-04,4.0669474601745605
2008-09-05,4.252252578735352
2008-09-08,4.301015377044678
2008-09-09,4.301015377044678
2008-09-10,4.788660526275635
2008-09-11,4.798413276672363
2008-09-12,5.003223419189453
2008-09-15,4.232746601104736
2008-09-16,3.901148796081543
2008-09-17,3.803619861602783
2008-09-18,4.15472412109375
2008-09-19,4.7203898429870605
2008-09-22,4.222992897033691
2008-09-23,3.9889252185821533
2008-09-24,4.252252578735352
2008-09-25,4.554591178894043
